fipstate,naics,emp,qp1,ap,est,year
10,315///,0,0,0,12,1998
10,316///,0,0,0,3,1998
10,321///,1115,4573,22588,23,1998
10,322///,0,0,0,8,1998
10,323///,953,7101,30158,90,1998
10,324///,837,12482,49668,15,1998
10,325///,7256,88802,353250,53,1998
10,326///,4445,44829,166092,56,1998
10,327///,950,7072,28939,40,1998
10,331///,775,8583,34261,9,1998
10,332///,2666,20532,91936,101,1998
10,333///,1355,11111,46557,30,1998
10,334///,2115,22699,103884,30,1998
10,335///,1343,12854,58245,12,1998
10,336///,6144,90364,342165,21,1998
10,337///,674,4803,18814,42,1998
10,339///,990,8234,31308,50,1998
10,421///,6796,65362,276676,634,1998
10,422///,8043,152525,512536,345,1998
10,441///,6237,42020,190157,370,1998
10,442///,2517,13163,59487,236,1998
10,443///,1347,6876,27332,149,1998
10,444///,3908,21777,97490,297,1998
10,445///,9203,32598,144145,598,1998
10,446///,3253,11720,48113,265,1998
10,447///,2487,8232,34296,311,1998
10,448///,4168,12653,56412,506,1998
10,451///,2045,6044,27746,244,1998
10,452///,8155,25964,106572,121,1998
10,453///,3040,9874,45248,473,1998
10,454///,1271,7841,34386,138,1998
10,481///,0,0,0,20,1998
10,483///,0,0,0,7,1998
10,484///,2874,20023,90196,293,1998
10,485///,2078,8254,33586,161,1998
10,486///,0,0,0,3,1998
10,487///,0,0,0,8,1998
10,488///,1137,8384,37125,88,1998
10,492///,575,3992,16670,17,1998
10,493///,585,4146,17438,27,1998
10,511///,2504,21778,109202,71,1998
10,512///,623,1608,7106,55,1998
10,513///,2808,34851,126058,111,1998
10,514///,2459,27083,119711,67,1998
10,522///,31077,359486,1372769,678,1998
10,523///,0,0,0,434,1998
10,524///,7651,72104,305179,432,1998
10,525///,0,0,0,26,1998
10,531///,2987,17735,79274,661,1998
10,532///,1457,6312,29896,213,1998
10,533///,446,4713,31669,217,1998
10,541///,17043,168837,824062,2029,1998
10,551///,20243,391476,1288596,1939,1998
10,561///,24991,101541,453782,1128,1998
10,562///,1126,8827,34413,58,1998
10,611///,5244,28502,117210,201,1998
10,621///,13075,117670,546449,1262,1998
10,622///,0,0,0,15,1998
10,623///,7120,30491,125723,100,1998
10,624///,0,0,0,471,1998
10,711///,2605,10668,55610,92,1998
10,712///,872,4376,18852,23,1998
10,713///,2816,9012,43080,207,1998
10,721///,2348,9208,44011,145,1998
10,722///,23519,58562,269937,1432,1998
10,811///,3252,19247,82759,631,1998
10,812///,3678,14621,65583,633,1998
10,813///,8482,29034,124753,831,1998
11,115///,0,0,0,2,1998
11,211///,0,0,0,1,1998
11,212///,0,0,0,2,1998
11,221///,2880,42234,169175,36,1998
11,233///,3724,40432,170293,165,1998
11,234///,1405,11539,56071,18,1998
11,235///,2060,15489,71100,133,1998
11,311///,0,0,0,16,1998
11,312///,0,0,0,3,1998
11,313///,0,0,0,1,1998
11,314///,0,0,0,4,1998
11,315///,0,0,0,5,1998
11,321///,0,0,0,1,1998
11,322///,0,0,0,1,1998
11,323///,1899,15856,66330,107,1998
11,324///,0,0,0,1,1998
11,325///,0,0,0,2,1998
11,327///,0,0,0,3,1998
11,332///,0,0,0,6,1998
11,333///,0,0,0,1,1998
11,334///,0,0,0,4,1998
11,335///,0,0,0,1,1998
11,336///,0,0,0,2,1998
11,337///,0,0,0,5,1998
11,339///,197,1470,6243,20,1998
11,421///,2041,35613,128632,185,1998
11,422///,2988,24906,110842,187,1998
11,441///,615,4360,16750,48,1998
11,442///,0,0,0,91,1998
11,443///,310,2116,8220,66,1998
11,444///,841,5559,23900,50,1998
11,445///,5506,24566,106190,545,1998
11,446///,2156,10165,43592,193,1998
11,447///,745,2827,12413,106,1998
11,448///,3144,11533,50302,414,1998
11,451///,1486,5505,22666,135,1998
11,452///,0,0,0,29,1998
11,453///,1700,7323,32348,285,1998
11,454///,373,2620,12793,49,1998
11,481///,0,0,0,39,1998
11,483///,0,0,0,3,1998
11,484///,0,0,0,23,1998
11,485///,1317,6830,27668,47,1998
11,486///,38,895,4245,8,1998
11,487///,336,1565,8335,4,1998
11,488///,399,2827,13045,36,1998
11,492///,831,5550,22259,52,1998
11,493///,0,0,0,6,1998
11,511///,9193,144161,613975,194,1998
11,512///,1581,14352,62381,141,1998
11,513///,9861,203161,725184,203,1998
11,514///,3124,39971,147421,111,1998
11,522///,7985,210789,682176,471,1998
11,523///,3388,107194,379844,261,1998
11,524///,5136,79528,288379,198,1998
11,525///,162,2494,9767,7,1998
11,531///,0,0,0,859,1998
11,532///,0,0,0,76,1998
11,533///,0,0,0,2,1998
11,541///,71140,1059011,4835392,4134,1998
11,551///,4140,87663,355419,215,1998
11,561///,29912,173976,735250,1143,1998
11,562///,159,1081,5074,19,1998
11,611///,39732,293781,1198226,398,1998
11,621///,9296,86979,399053,1270,1998
11,622///,0,0,0,19,1998
11,623///,0,0,0,202,1998
11,624///,10630,55723,230742,578,1998
11,711///,1492,12859,56855,136,1998
11,712///,0,0,0,37,1998
11,713///,1124,4062,16597,70,1998
11,721///,13408,83026,365789,121,1998
11,722///,27513,96219,417392,1561,1998
11,811///,777,4736,20361,175,1998
11,812///,5572,22775,97889,809,1998
